kg,fcr
0,0
0.03,0.82
0.04,0.82
0.05,0.82
0.06,0.82
0.07,0.82
0.08,0.82
0.09,0.82
0.1,0.82
0.11,0.82
0.12,0.82
0.13,0.82
0.14,0.82
0.15,0.82
0.16,0.820666666666665
0.17,0.8213333333333317
0.18,0.8219999999999984
0.19,0.8226666666666651
0.2,0.8233333333333318
0.21,0.8239999999999985
0.22,0.8246666666666652
0.23,0.8253333333333319
0.24,0.8259999999999986
0.25,0.8266666666666653
0.26,0.827333333333332
0.27,0.8279999999999987
0.28,0.8286666666666654
0.29,0.8293333333333321
0.3,0.8299999999999988
0.31,0.8306666666666656
0.32,0.8313333333333323
0.33,0.831999999999999
0.34,0.8326666666666657
0.35,0.8333333333333324
0.36,0.8339999999999991
0.37,0.8346666666666658
0.38,0.8353333333333325
0.39,0.8359999999999992
0.4,0.8366666666666659
0.41,0.8373333333333326
0.42,0.8379999999999993
0.43,0.838666666666666
0.44,0.8393333333333327
0.45,0.8399999999999994
0.46,0.8406666666666661
0.47,0.8413333333333328
0.48,0.8419999999999995
0.49,0.8426666666666662
0.5,0.8433333333333329
0.51,0.8439999999999996
0.52,0.8446666666666663
0.53,0.845333333333333
0.54,0.8459999999999998
0.55,0.8466666666666665
0.56,0.8473333333333332
0.57,0.8479999999999999
0.58,0.8486666666666666
0.59,0.8493333333333333
0.6,0.85
0.61,0.8508571428571406
0.62,0.8517142857142835
0.63,0.8525714285714264
0.64,0.8534285714285693
0.65,0.8542857142857122
0.66,0.8551428571428551
0.67,0.855999999999998
0.68,0.8568571428571409
0.69,0.8577142857142838
0.7,0.8585714285714267
0.71,0.8594285714285695
0.72,0.8602857142857124
0.73,0.8611428571428553
0.74,0.8619999999999982
0.75,0.8628571428571411
0.76,0.863714285714284
0.77,0.8645714285714269
0.78,0.8654285714285698
0.79,0.8662857142857127
0.8,0.8671428571428555
0.81,0.8679999999999984
0.82,0.8688571428571413
0.83,0.8697142857142842
0.84,0.8705714285714271
0.85,0.87142857142857
0.86,0.8722857142857129
0.87,0.8731428571428558
0.88,0.8739999999999987
0.89,0.8748571428571416
0.9,0.8757142857142844
0.91,0.8765714285714273
0.92,0.8774285714285702
0.93,0.8782857142857131
0.94,0.879142857142856
0.95,0.8799999999999989
0.96,0.8808571428571418
0.97,0.8817142857142847
0.98,0.8825714285714276
0.99,0.8834285714285705
1,0.8842857142857133
1.01,0.8851428571428562
1.02,0.8859999999999991
1.03,0.886857142857142
1.04,0.8877142857142849
1.05,0.8885714285714278
1.06,0.8894285714285707
1.07,0.8902857142857136
1.08,0.8911428571428565
1.09,0.8919999999999993
1.1,0.8928571428571422
1.11,0.8937142857142851
1.12,0.894571428571428
1.13,0.8954285714285709
1.14,0.8962857142857138
1.15,0.8971428571428567
1.16,0.8979999999999996
1.17,0.8988571428571425
1.18,0.8997142857142854
1.19,0.9005714285714282
1.2,0.9014285714285711
1.21,0.902285714285714
1.22,0.9031428571428569
1.23,0.9039999999999998
1.24,0.9048571428571427
1.25,0.9057142857142856
1.26,0.9065714285714285
1.27,0.9074285714285714
1.28,0.9082857142857143
1.29,0.9091428571428571
1.3,0.91
1.31,0.9107142857142889
1.32,0.9114285714285746
1.33,0.9121428571428603
1.34,0.9128571428571459
1.35,0.9135714285714316
1.36,0.9142857142857173
1.37,0.9150000000000029
1.38,0.9157142857142886
1.39,0.9164285714285743
1.4,0.9171428571428599
1.41,0.9178571428571456
1.42,0.9185714285714313
1.43,0.9192857142857169
1.44,0.9200000000000026
1.45,0.9207142857142883
1.46,0.9214285714285739
1.47,0.9221428571428596
1.48,0.9228571428571453
1.49,0.9235714285714309
1.5,0.9242857142857166
1.51,0.9250000000000023
1.52,0.9257142857142879
1.53,0.9264285714285736
1.54,0.9271428571428593
1.55,0.9278571428571449
1.56,0.9285714285714306
1.57,0.9292857142857163
1.58,0.9300000000000019
1.59,0.9307142857142876
1.6,0.9314285714285733
1.61,0.9321428571428589
1.62,0.9328571428571446
1.63,0.9335714285714303
1.64,0.9342857142857159
1.65,0.9350000000000016
1.66,0.9357142857142873
1.67,0.9364285714285729
1.68,0.9371428571428586
1.69,0.9378571428571443
1.7,0.9385714285714299
1.71,0.9392857142857156
1.72,0.9400000000000013
1.73,0.940714285714287
1.74,0.9414285714285726
1.75,0.9421428571428583
1.76,0.942857142857144
1.77,0.9435714285714296
1.78,0.9442857142857153
1.79,0.945000000000001
1.8,0.9457142857142866
1.81,0.9464285714285723
1.82,0.947142857142858
1.83,0.9478571428571436
1.84,0.9485714285714293
1.85,0.949285714285715
1.86,0.9500000000000006
1.87,0.9507142857142863
1.88,0.951428571428572
1.89,0.9521428571428576
1.9,0.9528571428571433
1.91,0.953571428571429
1.92,0.9542857142857146
1.93,0.9550000000000003
1.94,0.955714285714286
1.95,0.9564285714285716
1.96,0.9571428571428573
1.97,0.957857142857143
1.98,0.9585714285714286
1.99,0.9592857142857143
2,0.96
2.01,0.9608000000000033
2.02,0.9616000000000033
2.03,0.9624000000000034
2.04,0.9632000000000034
2.05,0.9640000000000034
2.06,0.9648000000000034
2.07,0.9656000000000035
2.08,0.9664000000000035
2.09,0.9672000000000035
2.1,0.9680000000000035
2.11,0.9688000000000035
2.12,0.9696000000000036
2.13,0.9704000000000036
2.14,0.9712000000000036
2.15,0.9720000000000036
2.16,0.9728000000000037
2.17,0.9736000000000037
2.18,0.9744000000000037
2.19,0.9752000000000037
2.2,0.9760000000000038
2.21,0.9768000000000038
2.22,0.9776000000000038
2.23,0.9784000000000038
2.24,0.9792000000000038
2.25,0.9800000000000039
2.26,0.9808000000000039
2.27,0.9816000000000039
2.28,0.9824000000000039
2.29,0.983200000000004
2.3,0.984000000000004
2.31,0.984800000000004
2.32,0.985600000000004
2.33,0.986400000000004
2.34,0.9872000000000041
2.35,0.9880000000000041
2.36,0.9888000000000041
2.37,0.9896000000000041
2.38,0.9904000000000042
2.39,0.9912000000000042
2.4,0.9920000000000042
2.41,0.9928000000000042
2.42,0.9936000000000043
2.43,0.9944000000000043
2.44,0.9952000000000043
2.45,0.9960000000000043
2.46,0.9968000000000043
2.47,0.9976000000000044
2.48,0.9984000000000044
2.49,0.9992000000000044
2.5,1.0000000000000044
2.51,1.0008000000000044
2.52,1.0016000000000043
2.53,1.0024000000000042
2.54,1.003200000000004
2.55,1.004000000000004
2.56,1.004800000000004
2.57,1.0056000000000038
2.58,1.0064000000000037
2.59,1.0072000000000036
2.6,1.0080000000000036
2.61,1.0088000000000035
2.62,1.0096000000000034
2.63,1.0104000000000033
2.64,1.0112000000000032
2.65,1.0120000000000031
2.66,1.012800000000003
2.67,1.013600000000003
2.68,1.0144000000000029
2.69,1.0152000000000028
2.7,1.0160000000000027
2.71,1.0168000000000026
2.72,1.0176000000000025
2.73,1.0184000000000024
2.74,1.0192000000000023
2.75,1.0200000000000022
2.76,1.0208000000000022
2.77,1.021600000000002
2.78,1.022400000000002
2.79,1.0232000000000019
2.8,1.0240000000000018
2.81,1.0248000000000017
2.82,1.0256000000000016
2.83,1.0264000000000015
2.84,1.0272000000000014
2.85,1.0280000000000014
2.86,1.0288000000000013
2.87,1.0296000000000012
2.88,1.030400000000001
2.89,1.031200000000001
2.9,1.032000000000001
2.91,1.0328000000000008
2.92,1.0336000000000007
2.93,1.0344000000000007
2.94,1.0352000000000006
2.95,1.0360000000000005
2.96,1.0368000000000004
2.97,1.0376000000000003
2.98,1.0384000000000002
2.99,1.0392000000000001
3,1.04
3.01,1.0408000000000088
3.02,1.0416000000000087
3.03,1.0424000000000087
3.04,1.0432000000000086
3.05,1.0440000000000085
3.06,1.0448000000000084
3.07,1.0456000000000083
3.08,1.0464000000000082
3.09,1.0472000000000081
3.1,1.048000000000008
3.11,1.048800000000008
3.12,1.0496000000000079
3.13,1.0504000000000078
3.14,1.0512000000000077
3.15,1.0520000000000076
3.16,1.0528000000000075
3.17,1.0536000000000074
3.18,1.0544000000000073
3.19,1.0552000000000072
3.2,1.0560000000000072
3.21,1.056800000000007
3.22,1.057600000000007
3.23,1.058400000000007
3.24,1.0592000000000068
3.25,1.0600000000000067
3.26,1.0608000000000066
3.27,1.0616000000000065
3.28,1.0624000000000065
3.29,1.0632000000000064
3.3,1.0640000000000063
3.31,1.0648000000000062
3.32,1.065600000000006
3.33,1.066400000000006
